model,quartile,n,accuracy,mean_delta_p,binary_faith_rate
LLaMA-3,Q1,230,0.3652173913043478,-0.3522678987826401,0.5434782608695652
LLaMA-3,Q2,230,0.6565217391304348,0.0693498735987665,0.19130434782608696
LLaMA-3,Q3,230,0.8521739130434782,0.41973484083089196,0.591304347826087
LLaMA-3,Q4,230,1.0,0.8532715642899965,1.0
LLaMA-3-3B,Q1,235,0.33617021276595743,-0.38461938987177013,0.5148936170212766
LLaMA-3-3B,Q2,235,0.6297872340425532,-0.007523399293232201,0.059574468085106386
LLaMA-3-3B,Q3,235,0.6,0.19011801573336595,0.251063829787234
LLaMA-3-3B,Q4,235,0.9531914893617022,0.6528651083494417,0.8808510638297873
Mistral-2,Q1,230,0.05217391304347826,-0.5050086635478249,0.7521739130434782
Mistral-2,Q2,230,0.7434782608695653,0.08906260104064112,0.1956521739130435
Mistral-2,Q3,229,0.9868995633187773,0.7583207748658947,0.9126637554585153
Mistral-2,Q4,230,1.0,0.9896359484410467,1.0
Phi-3,Q1,230,0.7130434782608696,-0.18982159930664363,0.18695652173913044
Phi-3,Q2,230,0.9391304347826087,-0.015083668891530008,0.013043478260869565
Phi-3,Q3,230,0.8217391304347826,0.0007757388308088691,0.004347826086956522
Phi-3,Q4,230,0.49130434782608695,0.1870491777486963,0.2565217391304348
