Model,Dataset,Efficacy,Specificity,Faithfulness,N_instances
LLaMA-3-8B,ARC-Challenge,82.2848,83.9300,62.5000,200
LLaMA-3-3B,ARC-Challenge,69.6262,91.9834,36.0000,175
Mistral-2,ARC-Challenge,82.8301,56.3719,78.3920,199
Phi-3,ARC-Challenge,11.3451,100.0000,4.3062,209
LLaMA-3-8B,OpenBookQA,82.4365,76.2359,56.9231,195
LLaMA-3-3B,OpenBookQA,71.4840,90.8514,51.4970,167
Mistral-2,OpenBookQA,82.8064,48.2473,75.2688,186
Phi-3,OpenBookQA,13.2363,100.0000,5.4187,203
LLaMA-3-8B,Sports,82.2211,55.6627,61.8182,165
LLaMA-3-3B,Sports,65.3078,80.0805,34.3023,172
Mistral-2,Sports,82.8224,48.6895,63.4921,189
Phi-3,Sports,21.0429,98.5212,25.0000,164
LLaMA-3-8B,StrategyQA,82.1467,72.1202,59.5628,183
LLaMA-3-3B,StrategyQA,70.6612,85.4749,50.2793,179
Mistral-2,StrategyQA,82.8651,49.0366,70.6806,191
Phi-3,StrategyQA,15.4485,99.6630,6.5217,184
